Date,Open,High,Low,Close,Volume
2008-12-31,1760.23,1786.7,1760.23,1761.56,167481600
2009-01-02,1781.51,1835.3,1777.72,1829.71,253956000
2009-01-05,1853.01,1924.87,1850.77,1924.87,640939392
2009-01-06,1936.73,1936.73,1901.5,1913.66,492146592
2009-01-07,1942.59,1959.95,1880.58,1880.58,727542208
2009-01-08,1855.13,1860.58,1820.59,1827.61,338765184
2009-01-09,1829.41,1849.39,1806.02,1806.02,351180192
2009-01-12,1797.84,1799.5,1776.25,1776.25,277131584
2009-01-13,1757.98,1806.73,1756.58,1761.82,395641088
2009-01-14,1780.97,1796.73,1760.94,1764.72,302292000
2009-01-15,1725.59,1731.11,1693.68,1704.06,381711488
2009-01-16,1716.29,1734.49,1707.84,1730.45,260487600
2009-01-19,1741.36,1760.27,1728.04,1746.99,288893696
2009-01-20,1714.31,1723.37,1693.54,1723.37,274775104
2009-01-21,1677.06,1704.75,1677.06,1704.52,296396992
2009-01-22,1721.62,1736.79,1701.93,1708.77,342182304
2009-01-23,1696.01,1710.28,1685.23,1685.23,266498000
2009-01-28,1722.37,1766.08,1720.04,1766.08,270852704
2009-01-29,1779.7,1780.98,1755.58,1766.72,342618912
2009-01-30,1747.44,1753.9,1737.72,1746.47,350807104
2009-02-02,1734.23,1746.93,1703.58,1705.29,326284992
2009-02-03,1706.74,1727.99,1705.63,1711.92,235376496
2009-02-04,1728.74,1731.11,1707.39,1707.39,326154208
2009-02-05,1707.17,1720.37,1697.28,1704.6,298427488
2009-02-06,1722.65,1726.92,1704.25,1715.35,391555808
2009-02-09,1733.94,1733.94,1678.66,1682.34,374640704
2009-02-10,1675.71,1703.29,1675.71,1703.29,327413184
2009-02-11,1679.03,1724.07,1678.52,1721.97,367519104
2009-02-12,1721.18,1721.71,1684.96,1684.96,288426304
2009-02-13,1696.12,1710.15,1693.1,1705.64,311611808
2009-02-16,1702.44,1710.36,1680.7,1680.7,269965696
2009-02-17,1677.9,1683.6,1636.88,1637.92,388580096
2009-02-18,1626.82,1651.06,1626.82,1651.06,303203584
2009-02-19,1640.48,1641.05,1624.98,1629.35,243767104
2009-02-20,1616.13,1625.13,1594.94,1594.94,279804896
2009-02-23,1581.95,1635.83,1567.22,1630.69,269498400
2009-02-24,1594.14,1614.44,1589.84,1614.44,307661696
2009-02-25,1623.71,1634.19,1612.36,1616.79,264534896
2009-02-26,1628.6,1631.35,1599.3,1617.44,311137600
2009-02-27,1627.02,1627.02,1583.9,1594.87,388487904
2009-03-02,1566.81,1567.24,1524.28,1533.4,375740096
2009-03-03,1509.48,1543.07,1509.48,1528.51,342473312
2009-03-04,1502.97,1544.8,1502.97,1544.34,329484608
2009-03-05,1551.09,1564.83,1516.19,1518.64,362070496
2009-03-06,1499.59,1515.43,1495.5,1513.12,208213696
2009-03-09,1512.83,1512.89,1456.95,1456.95,277391008
2009-03-10,1461.36,1485.75,1455.47,1485.75,273984992
2009-03-11,1527.21,1530.56,1502.82,1505.51,358701504
2009-03-12,1510.26,1512.81,1481.59,1493.53,270503008
2009-03-13,1533.97,1577.52,1524.48,1577.52,418113984
2009-03-16,1577.98,1590.13,1554.53,1586.32,292868512
2009-03-17,1579.23,1591.59,1557.59,1559.03,306402208
2009-03-18,1572.93,1583.6,1565.01,1575.94,247404096
2009-03-19,1583.19,1598.21,1569.86,1584.86,289255712
2009-03-20,1580.92,1598.46,1575.79,1596.92,295061696
2009-03-23,1608.72,1664.08,1608.72,1664.08,411535104
2009-03-24,1696.24,1723.2,1681.22,1706.34,492354304
2009-03-25,1708.07,1708.07,1677.94,1691.68,297468416
2009-03-26,1706.8,1761.79,1702.9,1758.79,496224608
2009-03-27,1775.03,1779.04,1729.01,1745.66,386113600
2009-03-30,1737.17,1737.24,1658.04,1673.14,280084512
2009-03-31,1712.34,1712.34,1662.99,1699.99,484608704
2009-04-01,1696.4,1727.38,1689.87,1702.26,261114304
2009-04-02,1733.19,1805.67,1730.33,1803.34,572447296
2009-04-03,1818.98,1827.84,1788.5,1820.87,664319296
2009-04-06,1837.61,1868.38,1827.39,1847.98,578986112
2009-04-07,1827.1,1827.13,1795.92,1802.39,391991296
2009-04-08,1779.45,1786.25,1754.33,1783.96,347389184
2009-04-09,1801.35,1836.83,1797.4,1828.51,406597088
2009-04-13,1863.09,1880.59,1862.38,1876.77,299168992
2009-04-14,1851.74,1897.02,1848.72,1897.02,380562592
2009-04-15,1868.87,1905.99,1853.94,1905.99,514433504
2009-04-16,1933.86,1947.3,1886.89,1891.75,580539008
2009-04-17,1920.19,1931.05,1888.99,1896.56,376469600
2009-04-20,1895.79,1896.32,1857,1874.85,306292992
2009-04-21,1833.74,1887.25,1813.9,1887.25,355770912
2009-04-22,1875.82,1875.82,1830.15,1843.41,452718016
2009-04-23,1841.31,1862.18,1836.59,1859.98,460854688
2009-04-24,1849.51,1859.7,1840.21,1852.85,343057504
2009-04-27,1853.4,1855.84,1796.3,1818.61,460637888
2009-04-28,1824.96,1827.84,1791.45,1808.41,390111488
2009-04-29,1817.39,1859.35,1816.67,1849.57,354851904
2009-04-30,1888.23,1920.28,1880.63,1920.28,354851904
2009-05-04,1939.46,2039.39,1930.6,2028.71,
2009-05-05,2056.6,2084.1,2046.14,2073.85,828879104
2009-05-06,2080.56,2183.19,2048.31,2179.03,660905984
2009-05-07,2197.25,2241.6,2171.82,2241.6,818079104
2009-05-08,2229.48,2283.84,2203.23,2238.21,675155776
2009-05-11,2229.59,2240.28,2164.87,2166.1,569471616
2009-05-12,2164.43,2191.51,2135.37,2178.13,503476096
2009-05-13,2177.97,2213.7,2173,2185.29,613507968
2009-05-14,2143.33,2148.99,2122.11,2122.11,425668512
2009-05-15,2161.71,2170.28,2127.99,2139.78,588318400
2009-05-18,2120.58,2176.98,2094.5,2176.98,618497728
2009-05-19,2223.91,2260.36,2223.36,2260.36,623816832
2009-05-20,2255.68,2274.28,2246.44,2269.24,752318720
2009-05-21,2244.28,2261.37,2210.97,2210.97,552664576
2009-05-22,2194.22,2245.36,2190.2,2245.27,548060032
2009-05-25,2261.25,2277.1,2234.02,2267.46,482789888
2009-05-26,2262.2,2276.96,2234.45,2238.79,334792096
2009-05-27,2267.92,2311.67,2267.64,2306.08,2189715968
2009-05-28,2269.65,2301.06,2257.44,2292.97,444878304
2009-05-29,2288.2,2347.37,2288.2,2329.08,702242688
2009-06-01,2341.48,2389.15,2341.48,2380.07,501737696
2009-06-02,2411.36,2424.52,2351.44,2375.82,627748288
2009-06-03,2392.66,2424.36,2376.02,2383.82,659255808
2009-06-04,2389.35,2391.35,2344.19,2362.74,419671200
2009-06-05,2388.22,2396.62,2372.8,2396.35,320764896
2009-06-08,2416.65,2417.25,2321.41,2333.7,386757792
2009-06-09,2355.45,2363.28,2314.62,2349.87,410831904
2009-06-10,2361.82,2395.25,2353.35,2391.22,408168512
2009-06-11,2392.36,2395.63,2360.61,2381.81,301059488
2009-06-12,2394.17,2397.57,2364.21,2377.07,328179712
2009-06-15,2362.54,2365.63,2316.56,2316.56,335746816
2009-06-16,2299.05,2302.26,2264.99,2288.16,463233600
2009-06-17,2281.16,2296.59,2255.33,2271.45,487256992
2009-06-18,2259.77,2275.71,2237.2,2237.2,342218912
2009-06-19,2254.42,2275.58,2254.42,2273.18,283888288
2009-06-22,2281.3,2303.76,2266.92,2266.92,321113984
2009-06-23,2212.88,2247.24,2211.81,2226.1,291372800
2009-06-24,2228.87,2279.84,2228.87,2278.96,288780416
2009-06-25,2292.82,2313.04,2281.98,2302.46,274250816
2009-06-26,2313.88,2332.47,2313.88,2317.95,346139200
2009-06-29,2323.71,2328.09,2304.4,2317.17,184471904
2009-06-30,2356.39,2356.39,2322.08,2333.14,317321888
2009-07-01,2329.37,2356.39,2319.36,2352.55,136400992
2009-07-02,2352.54,2361.92,2313.89,2320.82,303420192
2009-07-03,2284.69,2305.96,2284.69,2299.66,214773296
